species_common_name,species_scientific_name,observation_date,month,state,latitude,longitude,observation_count,plant_common_name,plant_scientific_name,optimal_planting_months,growth_duration_weeks,flowering_period,sunlight_requirement,water_requirement,suitable_regions
Australian Magpie,Gymnorhina tibicen,2022-07-24,July,QLD,-37.480911,145.446319,6,Bottlebrush,Callistemon spp.,Sep-Nov,10,Sep-Nov,Full Sun,Moderate,"VIC, NSW, QLD"
Australian Magpie,Gymnorhina tibicen,2022-02-14,February,WA,-35.27926,144.734626,12,Kangaroo Paw,Anigozanthos spp.,Aug-Dec,12,Aug-Dec,Full Sun,Low,WA
Sulphur-crested Cockatoo,Cacatua galerita,2022-08-10,August,NSW,-36.245153,145.105467,2,Kangaroo Paw,Anigozanthos spp.,Aug-Dec,12,Aug-Dec,Full Sun,Low,WA
Rainbow Lorikeet,Trichoglossus moluccanus,2022-10-03,October,QLD,-36.50428,145.181015,3,Kangaroo Paw,Anigozanthos spp.,Aug-Dec,12,Aug-Dec,Full Sun,Low,WA
Rainbow Lorikeet,Trichoglossus moluccanus,2022-09-06,September,WA,-38.562602,145.259544,10,Kangaroo Paw,Anigozanthos spp.,Aug-Dec,12,Aug-Dec,Full Sun,Low,WA
Eastern Rosella,Platycercus eximius,2022-04-01,April,WA,-36.294298,145.809142,15,Grevillea,Grevillea spp.,Jul-Oct,14,Jul-Oct,Full Sun,Low,"NSW, QLD"
Sulphur-crested Cockatoo,Cacatua galerita,2022-12-22,December,VIC,-36.092963,146.0842,4,Lilly Pilly,Syzygium spp.,Nov-Jan,16,Nov-Jan,Partial Sun,High,"VIC, QLD"
Eastern Rosella,Platycercus eximius,2022-09-01,September,SA,-38.469297,144.011554,12,Grevillea,Grevillea spp.,Jul-Oct,14,Jul-Oct,Full Sun,Low,"NSW, QLD"
Superb Fairywren,Malurus cyaneus,2022-07-21,July,VIC,-36.417176,143.56788,13,Kangaroo Paw,Anigozanthos spp.,Aug-Dec,12,Aug-Dec,Full Sun,Low,WA
Eastern Rosella,Platycercus eximius,2022-08-19,August,SA,-37.672986,147.285742,9,Kangaroo Paw,Anigozanthos spp.,Aug-Dec,12,Aug-Dec,Full Sun,Low,WA
Rainbow Lorikeet,Trichoglossus moluccanus,2022-06-16,June,VIC,-35.860686,145.408753,12,Grevillea,Grevillea spp.,Jul-Oct,14,Jul-Oct,Full Sun,Low,"NSW, QLD"
Australian Magpie,Gymnorhina tibicen,2022-04-30,April,QLD,-36.08338,143.839031,11,Kangaroo Paw,Anigozanthos spp.,Aug-Dec,12,Aug-Dec,Full Sun,Low,WA
Australian Magpie,Gymnorhina tibicen,2022-10-24,October,VIC,-38.670692,145.182447,10,Bottlebrush,Callistemon spp.,Sep-Nov,10,Sep-Nov,Full Sun,Moderate,"VIC, NSW, QLD"
Eastern Rosella,Platycercus eximius,2022-03-06,March,WA,-36.438642,146.363029,16,Lilly Pilly,Syzygium spp.,Nov-Jan,16,Nov-Jan,Partial Sun,High,"VIC, QLD"
Australian Magpie,Gymnorhina tibicen,2022-10-21,October,NSW,-37.407561,144.235816,9,Bottlebrush,Callistemon spp.,Sep-Nov,10,Sep-Nov,Full Sun,Moderate,"VIC, NSW, QLD"
Superb Fairywren,Malurus cyaneus,2022-10-16,October,QLD,-36.722015,145.285487,9,Grevillea,Grevillea spp.,Jul-Oct,14,Jul-Oct,Full Sun,Low,"NSW, QLD"
Superb Fairywren,Malurus cyaneus,2022-12-04,December,WA,-34.908499,144.423387,4,Lilly Pilly,Syzygium spp.,Nov-Jan,16,Nov-Jan,Partial Sun,High,"VIC, QLD"
Australian Magpie,Gymnorhina tibicen,2022-07-24,July,WA,-36.955581,145.44639,3,Bottlebrush,Callistemon spp.,Sep-Nov,10,Sep-Nov,Full Sun,Moderate,"VIC, NSW, QLD"
Rainbow Lorikeet,Trichoglossus moluccanus,2022-04-03,April,QLD,-37.790449,144.172864,7,Bottlebrush,Callistemon spp.,Sep-Nov,10,Sep-Nov,Full Sun,Moderate,"VIC, NSW, QLD"
Sulphur-crested Cockatoo,Cacatua galerita,2022-08-13,August,WA,-37.210249,145.660863,12,Kangaroo Paw,Anigozanthos spp.,Aug-Dec,12,Aug-Dec,Full Sun,Low,WA
Australian Magpie,Gymnorhina tibicen,2022-05-30,May,NSW,-38.279944,144.269617,13,Wattle,Acacia spp.,Aug-Sep,8,Aug-Sep,Full Sun,Low,All States
Superb Fairywren,Malurus cyaneus,2022-05-19,May,QLD,-36.064607,144.651005,14,Grevillea,Grevillea spp.,Jul-Oct,14,Jul-Oct,Full Sun,Low,"NSW, QLD"
Superb Fairywren,Malurus cyaneus,2022-07-24,July,NSW,-37.712617,145.298456,5,Kangaroo Paw,Anigozanthos spp.,Aug-Dec,12,Aug-Dec,Full Sun,Low,WA
Rainbow Lorikeet,Trichoglossus moluccanus,2022-01-19,January,NSW,-36.555718,144.89763,4,Bottlebrush,Callistemon spp.,Sep-Nov,10,Sep-Nov,Full Sun,Moderate,"VIC, NSW, QLD"
Eastern Rosella,Platycercus eximius,2022-01-09,January,VIC,-36.502275,145.468123,6,Grevillea,Grevillea spp.,Jul-Oct,14,Jul-Oct,Full Sun,Low,"NSW, QLD"
Eastern Rosella,Platycercus eximius,2022-03-31,March,WA,-36.01921,142.561236,2,Lilly Pilly,Syzygium spp.,Nov-Jan,16,Nov-Jan,Partial Sun,High,"VIC, QLD"
Eastern Rosella,Platycercus eximius,2022-02-02,February,QLD,-36.79454,146.156323,12,Kangaroo Paw,Anigozanthos spp.,Aug-Dec,12,Aug-Dec,Full Sun,Low,WA
Eastern Rosella,Platycercus eximius,2022-04-30,April,VIC,-35.892877,145.037805,1,Wattle,Acacia spp.,Aug-Sep,8,Aug-Sep,Full Sun,Low,All States
Sulphur-crested Cockatoo,Cacatua galerita,2022-10-16,October,QLD,-36.915291,144.458216,6,Kangaroo Paw,Anigozanthos spp.,Aug-Dec,12,Aug-Dec,Full Sun,Low,WA
